GISJOIN,YEAR,ANRCA,AIANHHA,RES_ONLYA,TRUSTA,RES_TRSTA,BLOCKA,BLCK_GRPA,TRACTA,CD101A,C_CITYA,COUNTYA,CTY_SUBA,DIVISIONA,MSA_CMSAA,PLACE,PLACEA,PMSAA,REGIONA,STATE,STATEA,URBRURALA,URB_AREAA,CD103A,ANPSADPI,ESP001,ESP002,ESP003,ESP004,ESP005
"G01008920","1990",,,,,,,,,,"99999",,,"6",,"Branchville town","08920",,"3","Alabama","01",,,,"Branchville town",95,39,1,1,0
"G01009016","1990",,,,,,,,,,"99999",,,"6",,"Brantley town","09016",,"3","Alabama","01",,,,"Brantley town",275,120,17,5,3
"G01009136","1990",,,,,,,,,,"99999",,,"6",,"Brent city","09136",,"3","Alabama","01",,,,"Brent city",631,338,50,11,4
"G01009208","1990",,,,,,,,,,"99999",,,"6",,"Brewton city","09208",,"3","Alabama","01",,,,"Brewton city",1642,554,44,15,3
"G01009328","1990",,,,,,,,,,"99999",,,"6",,"Bridgeport city","09328",,"3","Alabama","01",,,,"Bridgeport city",690,396,34,6,2
"G01009400","1990",,,,,,,,,,"99999",,,"6",,"Brighton city","09400",,"3","Alabama","01",,,,"Brighton city",938,524,74,24,5
"G01009424","1990",,,,,,,,,,"99999",,,"6",,"Brilliant town","09424",,"3","Alabama","01",,,,"Brilliant town",219,94,4,0,0
"G01009736","1990",,,,,,,,,,"99999",,,"6",,"Brookside town","09736",,"3","Alabama","01",,,,"Brookside town",304,188,8,2,0
"G01009808","1990",,,,,,,,,,"99999",,,"6",,"Brookwood town","09808",,"3","Alabama","01",,,,"Brookwood town",103,97,7,0,0
"G01010240","1990",,,,,,,,,,"99999",,,"6",,"Brundidge city","10240",,"3","Alabama","01",,,,"Brundidge city",678,279,41,14,1
"G01011032","1990",,,,,,,,,,"99999",,,"6",,"Butler city","11032",,"3","Alabama","01",,,,"Butler city",532,187,16,4,0
"G01011128","1990",,,,,,,,,,"99999",,,"6",,"Bynum CDP","11128",,"3","Alabama","01",,,,"Bynum CDP",408,250,15,1,0
"G01011248","1990",,,,,,,,,,"99999",,,"6",,"Cahaba Heights CDP","11248",,"3","Alabama","01",,,,"Cahaba Heights CDP",1643,448,12,2,1
"G01011416","1990",,,,,,,,,,"99999",,,"6",,"Calera city","11416",,"3","Alabama","01",,,,"Calera city",547,260,26,1,0
"G01011512","1990",,,,,,,,,,"99999",,,"6",,"Camden town","11512",,"3","Alabama","01",,,,"Camden town",568,247,36,17,9
"G01011680","1990",,,,,,,,,,"99999",,,"6",,"Camp Hill town","11680",,"3","Alabama","01",,,,"Camp Hill town",341,179,16,6,0
"G01012016","1990",,,,,,,,,,"99999",,,"6",,"Carbon Hill city","12016",,"3","Alabama","01",,,,"Carbon Hill city",591,245,18,3,0
"G01012040","1990",,,,,,,,,,"99999",,,"6",,"Cardiff town","12040",,"3","Alabama","01",,,,"Cardiff town",22,9,0,0,0
"G01012160","1990",,,,,,,,,,"99999",,,"6",,"Carolina town","12160",,"3","Alabama","01",,,,"Carolina town",54,25,1,0,0
"G01012304","1990",,,,,,,,,,"99999",,,"6",,"Carrollton town","12304",,"3","Alabama","01",,,,"Carrollton town",271,134,11,9,2
"G01012496","1990",,,,,,,,,,"99999",,,"6",,"Castleberry town","12496",,"3","Alabama","01",,,,"Castleberry town",149,91,9,0,0
"G01012760","1990",,,,,,,,,,"99999",,,"6",,"Cedar Bluff town","12760",,"3","Alabama","01",,,,"Cedar Bluff town",304,135,15,6,0
