GISJOIN,YEAR,ANRCA,AIANHHA,RES_ONLYA,TRUSTA,RES_TRSTA,BLOCKA,BLCK_GRPA,TRACTA,CD101A,C_CITYA,COUNTYA,CTY_SUBA,DIVISIONA,MSA_CMSAA,PLACE,PLACEA,PMSAA,REGIONA,STATE,STATEA,URBRURALA,URB_AREAA,CD103A,ANPSADPI,ESP001,ESP002,ESP003,ESP004,ESP005
"G01029608","1990",,,,,,,,,,"99999",,,"6",,"Geraldine town","29608",,"3","Alabama","01",,,,"Geraldine town",234,97,3,0,0
"G01029704","1990",,,,,,,,,,"99999",,,"6",,"Gilbertown town","29704",,"3","Alabama","01",,,,"Gilbertown town",54,32,1,1,0
"G01029944","1990",,,,,,,,,,"99999",,,"6",,"Glen Allen town","29944",,"3","Alabama","01",,,,"Glen Allen town",65,54,4,0,0
"G01029992","1990",,,,,,,,,,"99999",,,"6",,"Glencoe city","29992",,"3","Alabama","01",,,,"Glencoe city",1166,514,10,2,0
"G01030160","1990",,,,,,,,,,"99999",,,"6",,"Glenwood town","30160",,"3","Alabama","01",,,,"Glenwood town",42,31,8,2,0
"G01030448","1990",,,,,,,,,,"99999",,,"6",,"Goldville town","30448",,"3","Alabama","01",,,,"Goldville town",10,8,0,1,0
"G01030496","1990",,,,,,,,,,"99999",,,"6",,"Good Hope town","30496",,"3","Alabama","01",,,,"Good Hope town",392,227,16,1,0
"G01030640","1990",,,,,,,,,,"99999",,,"6",,"Goodwater city","30640",,"3","Alabama","01",,,,"Goodwater city",387,190,36,10,2
"G01030736","1990",,,,,,,,,,"99999",,,"6",,"Gordo city","30736",,"3","Alabama","01",,,,"Gordo city",462,240,26,7,5
"G01030760","1990",,,,,,,,,,"99999",,,"6",,"Gordon town","30760",,"3","Alabama","01",,,,"Gordon town",81,58,11,4,1
"G01030880","1990",,,,,,,,,,"99999",,,"6",,"Goshen town","30880",,"3","Alabama","01",,,,"Goshen town",98,30,3,1,0
"G01031024","1990",,,,,,,,,,"99999",,,"6",,"Grand Bay CDP","31024",,"3","Alabama","01",,,,"Grand Bay CDP",654,431,37,10,0
"G01031096","1990",,,,,,,,,,"99999",,,"6",,"Grant town","31096",,"3","Alabama","01",,,,"Grant town",180,73,2,0,0
"G01031384","1990",,,,,,,,,,"99999",,,"6",,"Graysville city","31384",,"3","Alabama","01",,,,"Graysville city",603,233,21,0,0
"G01031720","1990",,,,,,,,,,"99999",,,"6",,"Greensboro city","31720",,"3","Alabama","01",,,,"Greensboro city",722,271,64,20,10
"G01031912","1990",,,,,,,,,,"99999",,,"6",,"Greenville city","31912",,"3","Alabama","01",,,,"Greenville city",1858,774,142,34,11
"G01032056","1990",,,,,,,,,,"99999",,,"6",,"Grimes town","32056",,"3","Alabama","01",,,,"Grimes town",80,61,4,4,0
"G01032080","1990",,,,,,,,,,"99999",,,"6",,"Grove Hill town","32080",,"3","Alabama","01",,,,"Grove Hill town",438,160,18,2,3
"G01032224","1990",,,,,,,,,,"99999",,,"6",,"Guin town","32224",,"3","Alabama","01",,,,"Guin town",674,277,21,5,3
"G01032272","1990",,,,,,,,,,"99999",,,"6",,"Gulf Shores city","32272",,"3","Alabama","01",,,,"Gulf Shores city",1097,307,26,5,0
"G01032416","1990",,,,,,,,,,"99999",,,"6",,"Guntersville city","32416",,"3","Alabama","01",,,,"Guntersville city",2046,756,44,4,3
"G01032440","1990",,,,,,,,,,"99999",,,"6",,"Gurley town","32440",,"3","Alabama","01",,,,"Gurley town",234,115,20,7,0
"G01032536","1990",,,,,,,,,,"99999",,,"6",,"Gu-Win town","32536",,"3","Alabama","01",,,,"Gu-Win town",62,32,0,0,0
"G01032560","1990",,,,,,,,,,"99999",,,"6",,"Hackleburg town","32560",,"3","Alabama","01",,,,"Hackleburg town",331,150,6,0,0
"G01032656","1990",,,,,,,,,,"99999",,,"6",,"Haleburg town","32656",,"3","Alabama","01",,,,"Haleburg town",29,8,1,1,0
"G01032704","1990",,,,,,,,,,"99999",,,"6",,"Haleyville city","32704",,"3","Alabama","01",,,,"Haleyville city",1332,480,28,4,0
"G01032848","1990",,,,,,,,,,"99999",,,"6",,"Hamilton city","32848",,"3","Alabama","01",,,,"Hamilton city",1607,604,23,5,1
"G01032896","1990",,,,,,,,,,"99999",,,"6",,"Hammondville town","32896",,"3","Alabama","01",,,,"Hammondville town",118,40,6,2,0
"G01032968","1990",,,,,,,,,,"99999",,,"6",,"Hanceville city","32968",,"3","Alabama","01",,,,"Hanceville city",535,255,14,1,0
"G01033256","1990",,,,,,,,,,"99999",,,"6",,"Harpersville town","33256",,"3","Alabama","01",,,,"Harpersville town",179,86,10,4,0
"G01033424","1990",,,,,,,,,,"99999",,,"6",,"Hartford city","33424",,"3","Alabama","01",,,,"Hartford city",679,292,24,8,1
