GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,CTY_SUBA,PLACE,PLACEA,TRACTA,TRBL_CTA,BLCK_GRPA,TRBL_BGA,C_CITYA,AIANHHA,RES_ONLYA,TRUSTA,TRBL_SUBA,ANRCA,MSA_CMSAA,PMSAA,NECMAA,URB_AREAA,URBRURALA,CD106A,CD108A,CD109A,ZIP3A,ZCTAA,NAME,F90001,F90002,F90003,F90004,F90005,F90006,F90007,F90008,F90009,F90010
"G01004852","2000","3","6","Alabama","01",,,"Bear Creek town","04852",,,,,,,,,,,"9999","9999","9999",,,,,,,,"Bear Creek town",247,111,5,0,0,54,16,2,0,0
"G01004900","2000","3","6","Alabama","01",,,"Beatrice town","04900",,,,,,,,,,,"9999","9999","9999",,,,,,,,"Beatrice town",86,30,0,5,0,14,9,2,0,3
"G01004948","2000","3","6","Alabama","01",,,"Beaverton town","04948",,,,,,,,,,,"9999","9999","9999",,,,,,,,"Beaverton town",57,16,0,3,0,21,4,0,0,0
"G01005164","2000","3","6","Alabama","01",,,"Belk town","05164",,,,,,,,,,,"9999","9999","9999",,,,,,,,"Belk town",68,16,0,0,0,7,12,0,0,0
"G01005692","2000","3","6","Alabama","01",,,"Benton town","05692",,,,,,,,,,,"9999","9999","9999",,,,,,,,"Benton town",13,0,0,0,0,3,0,0,0,0
"G01005932","2000","3","6","Alabama","01",,,"Berry town","05932",,,,,,,,,,,"9999","9999","9999",,,,,,,,"Berry town",261,99,6,2,0,98,39,6,0,0
"G01005980","2000","3","6","Alabama","01",,,"Bessemer city","05980",,,,,,,,,,,"1000","9999","9999",,,,,,,,"Bessemer city",5227,1501,88,21,17,2615,1882,197,49,39
"G01006460","2000","3","6","Alabama","01",,,"Billingsley town","06460",,,,,,,,,,,"5240","9999","9999",,,,,,,,"Billingsley town",36,9,0,0,0,0,5,0,0,0
"G01007000","2000","3","6","Alabama","01",,,"Birmingham city","07000",,,,,,,,,,,"1000","9999","9999",,,,,,,,"Birmingham city",40290,11574,796,162,64,28265,14540,2068,890,288
"G01007120","2000","3","6","Alabama","01",,,"Black town","07120",,,,,,,,,,,"9999","9999","9999",,,,,,,,"Black town",48,17,0,0,0,5,9,2,0,0
"G01007456","2000","3","6","Alabama","01",,,"Blountsville town","07456",,,,,,,,,,,"1000","9999","9999",,,,,,,,"Blountsville town",338,70,2,0,0,191,88,39,11,3
"G01007552","2000","3","6","Alabama","01",,,"Blue Mountain town","07552",,,,,,,,,,,"0450","9999","9999",,,,,,,,"Blue Mountain town",55,17,0,0,0,18,4,4,0,2
"G01007588","2000","3","6","Alabama","01",,,"Blue Ridge CDP","07588",,,,,,,,,,,"5240","9999","9999",,,,,,,,"Blue Ridge CDP",411,53,8,0,0,13,11,0,0,0
"G01007672","2000","3","6","Alabama","01",,,"Blue Springs town","07672",,,,,,,,,,,"9999","9999","9999",,,,,,,,"Blue Springs town",23,18,0,0,0,2,0,0,0,0
"G01007912","2000","3","6","Alabama","01",,,"Boaz city","07912",,,,,,,,,,,"####","9999","9999",,,,,,,,"Boaz city",1634,373,6,0,0,815,290,25,19,12
"G01008104","2000","3","6","Alabama","01",,,"Boligee town","08104",,,,,,,,,,,"9999","9999","9999",,,,,,,,"Boligee town",51,24,0,0,0,41,32,0,0,2
"G01008248","2000","3","6","Alabama","01",,,"Bon Air town","08248",,,,,,,,,,,"9999","9999","9999",,,,,,,,"Bon Air town",25,13,4,0,0,1,0,0,0,0
"G01008920","2000","3","6","Alabama","01",,,"Branchville town","08920",,,,,,,,,,,"1000","9999","9999",,,,,,,,"Branchville town",233,49,0,3,0,29,15,0,0,0
"G01009016","2000","3","6","Alabama","01",,,"Brantley town","09016",,,,,,,,,,,"9999","9999","9999",,,,,,,,"Brantley town",182,79,11,0,0,88,50,0,2,0
"G01009136","2000","3","6","Alabama","01",,,"Brent city","09136",,,,,,,,,,,"9999","9999","9999",,,,,,,,"Brent city",494,238,20,5,0,215,143,24,4,3
