GISJOIN,YEAR,STATE,STATEA,COUNTYA,CTY_SUBA,PLACE,PLACEA,TRACTA,ENUMDISTA,SCSAA,SMSAA,URB_AREAA,BLCK_GRPA,BLOCKA,ANXTERRA,URBRURALA,CDA,AREANAME,CCO001,CCO002,CCO003
"G0100005","1970","Alabama","01",,,"Abbeville","0005",,,,,,,,,,,"Abbeville",912,43,38
"G0100010","1970","Alabama","01",,,"Adamsville","0010",,,,,,,,,,,"Adamsville",655,55,27
"G0100015","1970","Alabama","01",,,"Addison","0015",,,,,,,,,,,"Addison",195,14,7
"G0100020","1970","Alabama","01",,,"Akron","0020",,,,,,,,,,,"Akron",143,14,14
"G0100025","1970","Alabama","01",,,"Alabaster","0025",,,,,,,,,,,"Alabaster",656,66,52
"G0100030","1970","Alabama","01",,,"Albertville","0030",,,,,,,,,,,"Albertville",3095,172,31
"G0100035","1970","Alabama","01",,,"Alexander City","0035",,,,,,,,,,,"Alexander City",3375,279,140
"G0100040","1970","Alabama","01",,,"Aliceville","0040",,,,,,,,,,,"Aliceville",862,59,41
"G0100045","1970","Alabama","01",,,"Allgood","0045",,,,,,,,,,,"Allgood",72,8,2
"G0100050","1970","Alabama","01",,,"Altoona","0050",,,,,,,,,,,"Altoona",255,10,1
"G0100055","1970","Alabama","01",,,"Andalusia","0055",,,,,,,,,,,"Andalusia",3077,166,112
"G0100060","1970","Alabama","01",,,"Anniston","0060",,,,,,,,,,,"Anniston",9100,753,370
"G0100062","1970","Alabama","01",,,"Anniston Northwest (U)","0062",,,,,,,,,,,"Anniston Northwest (U)",1951,115,23
"G0100065","1970","Alabama","01",,,"Arab","0065",,,,,,,,,,,"Arab",1274,62,17
"G0100070","1970","Alabama","01",,,"Ardmore","0070",,,,,,,,,,,"Ardmore",262,9,3
"G0100075","1970","Alabama","01",,,"Ariton","0075",,,,,,,,,,,"Ariton",207,11,4
"G0100077","1970","Alabama","01",,,"Arley","0077",,,,,,,,,,,"Arley",48,3,1
"G0100080","1970","Alabama","01",,,"Ashford","0080",,,,,,,,,,,"Ashford",569,48,21
"G0100085","1970","Alabama","01",,,"Ashland","0085",,,,,,,,,,,"Ashland",591,41,25
"G0100090","1970","Alabama","01",,,"Ashville","0090",,,,,,,,,,,"Ashville",253,23,15
"G0100095","1970","Alabama","01",,,"Athens","0095",,,,,,,,,,,"Athens",4037,243,114
"G0100100","1970","Alabama","01",,,"Atmore","0100",,,,,,,,,,,"Atmore",2198,176,136
"G0100105","1970","Alabama","01",,,"Attalla","0105",,,,,,,,,,,"Attalla",2122,171,60
"G0100110","1970","Alabama","01",,,"Auburn","0110",,,,,,,,,,,"Auburn",5683,220,240
"G0100115","1970","Alabama","01",,,"Autaugaville","0115",,,,,,,,,,,"Autaugaville",205,27,17
"G0100120","1970","Alabama","01",,,"Avon","0120",,,,,,,,,,,"Avon",110,9,1
"G0100125","1970","Alabama","01",,,"Babbie","0125",,,,,,,,,,,"Babbie",22,2,0
"G0100130","1970","Alabama","01",,,"Banks","0130",,,,,,,,,,,"Banks",62,3,1
"G0100135","1970","Alabama","01",,,"Bay Minette","0135",,,,,,,,,,,"Bay Minette",1690,160,80
"G0100140","1970","Alabama","01",,,"Bayou La Batre","0140",,,,,,,,,,,"Bayou La Batre",669,81,38
"G0100150","1970","Alabama","01",,,"Bear Creek","0150",,,,,,,,,,,"Bear Creek",106,6,2
"G0100155","1970","Alabama","01",,,"Beatrice","0155",,,,,,,,,,,"Beatrice",134,16,5
"G0100160","1970","Alabama","01",,,"Beaverton","0160",,,,,,,,,,,"Beaverton",89,4,1
"G0100167","1970","Alabama","01",,,"Benton","0167",,,,,,,,,,,"Benton",29,1,5
"G0100170","1970","Alabama","01",,,"Berry","0170",,,,,,,,,,,"Berry",229,12,5
"G0100175","1970","Alabama","01",,,"Bessemer","0175",,,,,,,,,,,"Bessemer",8839,841,700
"G0100180","1970","Alabama","01",,,"Billingsley","0180",,,,,,,,,,,"Billingsley",37,1,2
"G0100185","1970","Alabama","01",,,"Birmingham","0185",,,,,,,,,,,"Birmingham",89861,6416,3665
"G0100190","1970","Alabama","01",,,"Black","0190",,,,,,,,,,,"Black",54,6,2
"G0100195","1970","Alabama","01",,,"Blountsville","0195",,,,,,,,,,,"Blountsville",423,18,6
"G0100200","1970","Alabama","01",,,"Blue Mountain","0200",,,,,,,,,,,"Blue Mountain",139,10,7
"G0100205","1970","Alabama","01",,,"Blue Springs","0205",,,,,,,,,,,"Blue Springs",51,1,1
"G0100207","1970","Alabama","01",,,"Bluff Park (U)","0207",,,,,,,,,,,"Bluff Park (U)",3499,23,3
"G0100210","1970","Alabama","01",,,"Boaz","0210",,,,,,,,,,,"Boaz",1813,77,14
"G0100215","1970","Alabama","01",,,"Boligee","0215",,,,,,,,,,,"Boligee",68,4,7
"G0100220","1970","Alabama","01",,,"Bon Air","0220",,,,,,,,,,,"Bon Air",51,12,5
"G0100233","1970","Alabama","01",,,"Branchville","0233",,,,,,,,,,,"Branchville",69,6,0
"G0100235","1970","Alabama","01",,,"Brantley","0235",,,,,,,,,,,"Brantley",326,23,18
"G0100240","1970","Alabama","01",,,"Brent","0240",,,,,,,,,,,"Brent",514,59,44
"G0100245","1970","Alabama","01",,,"Brewton","0245",,,,,,,,,,,"Brewton",1892,133,60
"G0100250","1970","Alabama","01",,,"Bridgeport","0250",,,,,,,,,,,"Bridgeport",776,99,25
"G0100255","1970","Alabama","01",,,"Brighton","0255",,,,,,,,,,,"Brighton",651,54,37
"G0100260","1970","Alabama","01",,,"Brilliant","0260",,,,,,,,,,,"Brilliant",265,13,1
"G0100265","1970","Alabama","01",,,"Brookside","0265",,,,,,,,,,,"Brookside",276,28,11
"G0100270","1970","Alabama","01",,,"Brownville","0270",,,,,,,,,,,"Brownville",119,23,3
"G0100275","1970","Alabama","01",,,"Brundidge","0275",,,,,,,,,,,"Brundidge",723,49,68
"G0100280","1970","Alabama","01",,,"Butler","0280",,,,,,,,,,,"Butler",573,32,17
"G0100285","1970","Alabama","01",,,"Calera","0285",,,,,,,,,,,"Calera",475,35,11
"G0100290","1970","Alabama","01",,,"Camden","0290",,,,,,,,,,,"Camden",523,20,32
"G0100295","1970","Alabama","01",,,"Camp Hill","0295",,,,,,,,,,,"Camp Hill",387,50,26
"G0100300","1970","Alabama","01",,,"Carbon Hill","0300",,,,,,,,,,,"Carbon Hill",615,34,14
"G0100305","1970","Alabama","01",,,"Cardiff","0305",,,,,,,,,,,"Cardiff",37,3,3
"G0100307","1970","Alabama","01",,,"Carolina","0307",,,,,,,,,,,"Carolina",60,1,2
"G0100310","1970","Alabama","01",,,"Carrollton","0310",,,,,,,,,,,"Carrollton",287,25,11
"G0100315","1970","Alabama","01",,,"Carrville","0315",,,,,,,,,,,"Carrville",266,17,12
"G0100325","1970","Alabama","01",,,"Castleberry","0325",,,,,,,,,,,"Castleberry",180,14,14
"G0100330","1970","Alabama","01",,,"Cedar Bluff","0330",,,,,,,,,,,"Cedar Bluff",260,23,14
"G0100335","1970","Alabama","01",,,"Center Point (U)","0335",,,,,,,,,,,"Center Point (U)",4252,116,11
"G0100340","1970","Alabama","01",,,"Centre","0340",,,,,,,,,,,"Centre",735,44,19
"G0100345","1970","Alabama","01",,,"Centreville","0345",,,,,,,,,,,"Centreville",576,46,31
"G0100355","1970","Alabama","01",,,"Chatom","0355",,,,,,,,,,,"Chatom",294,20,10
"G0100360","1970","Alabama","01",,,"Cherokee","0360",,,,,,,,,,,"Cherokee",425,28,9
"G0100365","1970","Alabama","01",,,"Chickasaw","0365",,,,,,,,,,,"Chickasaw",2554,144,25
"G0100370","1970","Alabama","01",,,"Childersburg","0370",,,,,,,,,,,"Childersburg",1318,104,47
"G0100375","1970","Alabama","01",,,"Citronelle","0375",,,,,,,,,,,"Citronelle",528,47,18
"G0100380","1970","Alabama","01",,,"Clanton","0380",,,,,,,,,,,"Clanton",1850,105,49
"G0100385","1970","Alabama","01",,,"Clayton","0385",,,,,,,,,,,"Clayton",507,37,26
"G0100387","1970","Alabama","01",,,"Cleveland","0387",,,,,,,,,,,"Cleveland",127,8,1
"G0100390","1970","Alabama","01",,,"Clio","0390",,,,,,,,,,,"Clio",312,21,17
"G0100395","1970","Alabama","01",,,"Coffee Springs","0395",,,,,,,,,,,"Coffee Springs",100,7,1
"G0100400","1970","Alabama","01",,,"Coffeeville","0400",,,,,,,,,,,"Coffeeville",136,7,4
"G0100405","1970","Alabama","01",,,"Collinsville","0405",,,,,,,,,,,"Collinsville",388,22,14
"G0100410","1970","Alabama","01",,,"Columbia","0410",,,,,,,,,,,"Columbia",269,24,10
"G0100415","1970","Alabama","01",,,"Columbiana","0415",,,,,,,,,,,"Columbiana",666,38,26
"G0100420","1970","Alabama","01",,,"Cordova","0420",,,,,,,,,,,"Cordova",825,67,28
"G0100425","1970","Alabama","01",,,"Cottonwood","0425",,,,,,,,,,,"Cottonwood",329,27,16
"G0100430","1970","Alabama","01",,,"County Line","0430",,,,,,,,,,,"County Line",41,8,5
"G0100435","1970","Alabama","01",,,"Courtland","0435",,,,,,,,,,,"Courtland",180,8,3
"G0100436","1970","Alabama","01",,,"Cowarts","0436",,,,,,,,,,,"Cowarts",96,6,4
"G0100437","1970","Alabama","01",,,"Craig (U)","0437",,,,,,,,,,,"Craig (U)",303,22,3
"G0100440","1970","Alabama","01",,,"Crossville","0440",,,,,,,,,,,"Crossville",343,13,2
"G0100445","1970","Alabama","01",,,"Cuba","0445",,,,,,,,,,,"Cuba",132,4,5
"G0100450","1970","Alabama","01",,,"Cullman","0450",,,,,,,,,,,"Cullman",3989,173,48
"G0100455","1970","Alabama","01",,,"Dadeville","0455",,,,,,,,,,,"Dadeville",710,77,56
"G0100460","1970","Alabama","01",,,"Daleville","0460",,,,,,,,,,,"Daleville",1609,103,22
"G0100465","1970","Alabama","01",,,"Daphne","0465",,,,,,,,,,,"Daphne",567,52,36
"G0100470","1970","Alabama","01",,,"Daviston","0470",,,,,,,,,,,"Daviston",66,6,3
"G0100475","1970","Alabama","01",,,"Dayton","0475",,,,,,,,,,,"Dayton",26,3,2
"G0100480","1970","Alabama","01",,,"Decatur","0480",,,,,,,,,,,"Decatur",11149,584,208
"G0100485","1970","Alabama","01",,,"Demopolis","0485",,,,,,,,,,,"Demopolis",2011,164,141
"G0100490","1970","Alabama","01",,,"Detroit","0490",,,,,,,,,,,"Detroit",63,3,0
"G0100492","1970","Alabama","01",,,"Docena (U)","0492",,,,,,,,,,,"Docena (U)",255,47,27
"G0100495","1970","Alabama","01",,,"Dora","0495",,,,,,,,,,,"Dora",523,48,18
"G0100500","1970","Alabama","01",,,"Dothan","0500",,,,,,,,,,,"Dothan",10585,643,292
"G0100505","1970","Alabama","01",,,"Double Springs","0505",,,,,,,,,,,"Double Springs",295,24,7
"G0100510","1970","Alabama","01",,,"Dozier","0510",,,,,,,,,,,"Dozier",100,6,5
"G0100513","1970","Alabama","01",,,"Dutton","0513",,,,,,,,,,,"Dutton",133,9,1
"G0100515","1970","Alabama","01",,,"East Brewton","0515",,,,,,,,,,,"East Brewton",728,44,6
"G0100520","1970","Alabama","01",,,"Eclectic","0520",,,,,,,,,,,"Eclectic",353,20,12
"G0100525","1970","Alabama","01",,,"Edwardsville","0525",,,,,,,,,,,"Edwardsville",49,3,1
"G0100530","1970","Alabama","01",,,"Elba","0530",,,,,,,,,,,"Elba",1269,96,57
"G0100535","1970","Alabama","01",,,"Elberta","0535",,,,,,,,,,,"Elberta",150,1,2
"G0100540","1970","Alabama","01",,,"Elkmont","0540",,,,,,,,,,,"Elkmont",117,8,3
"G0100545","1970","Alabama","01",,,"Enterprise","0545",,,,,,,,,,,"Enterprise",4496,275,114
"G0100550","1970","Alabama","01",,,"Epes","0550",,,,,,,,,,,"Epes",83,6,7
"G0100555","1970","Alabama","01",,,"Ethelsville","0555",,,,,,,,,,,"Ethelsville",29,5,0
"G0100560","1970","Alabama","01",,,"Eufaula","0560",,,,,,,,,,,"Eufaula",2509,203,134
"G0100565","1970","Alabama","01",,,"Eunola","0565",,,,,,,,,,,"Eunola",38,2,1
"G0100570","1970","Alabama","01",,,"Eutaw","0570",,,,,,,,,,,"Eutaw",758,55,72
"G0100572","1970","Alabama","01",,,"Eva","0572",,,,,,,,,,,"Eva",57,1,0
"G0100575","1970","Alabama","01",,,"Evergreen","0575",,,,,,,,,,,"Evergreen",1156,79,54
"G0100580","1970","Alabama","01",,,"Excel","0580",,,,,,,,,,,"Excel",125,12,2
"G0100585","1970","Alabama","01",,,"Fairfax (U)","0585",,,,,,,,,,,"Fairfax (U)",862,65,40
"G0100590","1970","Alabama","01",,,"Fairfield","0590",,,,,,,,,,,"Fairfield",4019,254,162
"G0100595","1970","Alabama","01",,,"Fairhope","0595",,,,,,,,,,,"Fairhope",1825,93,23
"G0100597","1970","Alabama","01",,,"Fairview","0597",,,,,,,,,,,"Fairview",85,7,2
"G0100600","1970","Alabama","01",,,"Falkville","0600",,,,,,,,,,,"Falkville",257,19,1
"G0100605","1970","Alabama","01",,,"Faunsdale","0605",,,,,,,,,,,"Faunsdale",54,9,6
"G0100610","1970","Alabama","01",,,"Fayette","0610",,,,,,,,,,,"Fayette",1453,72,30
"G0100615","1970","Alabama","01",,,"Five Points","0615",,,,,,,,,,,"Five Points",56,8,6
"G0100622","1970","Alabama","01",,,"Flat Creek-Wegra-Praco (U)","0622",,,,,,,,,,,"Flat Creek-Wegra-Praco (U)",252,35,20
"G0100625","1970","Alabama","01",,,"Flint City","0625",,,,,,,,,,,"Flint City",92,5,2
"G0100630","1970","Alabama","01",,,"Flomaton","0630",,,,,,,,,,,"Flomaton",470,31,14
"G0100635","1970","Alabama","01",,,"Florala","0635",,,,,,,,,,,"Florala",819,61,36
"G0100640","1970","Alabama","01",,,"Florence","0640",,,,,,,,,,,"Florence",9993,540,150
"G0100645","1970","Alabama","01",,,"Foley","0645",,,,,,,,,,,"Foley",908,73,40
"G0100647","1970","Alabama","01",,,"Forestdale (U)","0647",,,,,,,,,,,"Forestdale (U)",1830,45,10
"G0100650","1970","Alabama","01",,,"Fort Deposit","0650",,,,,,,,,,,"Fort Deposit",332,26,46
"G0100652","1970","Alabama","01",,,"Fort Mc Clellan (U)","0652",,,,,,,,,,,"Fort Mc Clellan (U)",480,51,10
"G0100655","1970","Alabama","01",,,"Fort Payne","0655",,,,,,,,,,,"Fort Payne",2740,119,42
"G0100657","1970","Alabama","01",,,"Fort Rucker (U)","0657",,,,,,,,,,,"Fort Rucker (U)",1476,127,13
"G0100660","1970","Alabama","01",,,"Frisco City","0660",,,,,,,,,,,"Frisco City",369,36,6
"G0100665","1970","Alabama","01",,,"Fruithurst","0665",,,,,,,,,,,"Fruithurst",68,7,1
"G0100670","1970","Alabama","01",,,"Fulton","0670",,,,,,,,,,,"Fulton",161,17,7
"G0100675","1970","Alabama","01",,,"Fultondale","0675",,,,,,,,,,,"Fultondale",1403,93,14
"G0100680","1970","Alabama","01",,,"Fyffe","0680",,,,,,,,,,,"Fyffe",108,3,0
"G0100685","1970","Alabama","01",,,"Gadsden","0685",,,,,,,,,,,"Gadsden",16509,957,358
"G0100690","1970","Alabama","01",,,"Gainesville","0690",,,,,,,,,,,"Gainesville",66,4,6
"G0100695","1970","Alabama","01",,,"Gantts Quarry","0695",,,,,,,,,,,"Gantts Quarry",16,1,1
"G0100700","1970","Alabama","01",,,"Garden City","0700",,,,,,,,,,,"Garden City",193,19,5
"G0100705","1970","Alabama","01",,,"Gardendale","0705",,,,,,,,,,,"Gardendale",1880,72,7
"G0100710","1970","Alabama","01",,,"Gaylesville","0710",,,,,,,,,,,"Gaylesville",48,2,1
"G0100715","1970","Alabama","01",,,"Geiger","0715",,,,,,,,,,,"Geiger",23,5,4
"G0100720","1970","Alabama","01",,,"Geneva","0720",,,,,,,,,,,"Geneva",1259,89,36
"G0100725","1970","Alabama","01",,,"Georgiana","0725",,,,,,,,,,,"Georgiana",618,57,28
"G0100730","1970","Alabama","01",,,"Geraldine","0730",,,,,,,,,,,"Geraldine",193,11,1
"G0100735","1970","Alabama","01",,,"Gilbertown","0735",,,,,,,,,,,"Gilbertown",63,8,1
"G0100740","1970","Alabama","01",,,"Glen Allen","0740",,,,,,,,,,,"Glen Allen",69,9,5
"G0100745","1970","Alabama","01",,,"Glencoe","0745",,,,,,,,,,,"Glencoe",820,53,10
"G0100750","1970","Alabama","01",,,"Glenwood","0750",,,,,,,,,,,"Glenwood",114,3,7
"G0100752","1970","Alabama","01",,,"Good Hope","0752",,,,,,,,,,,"Good Hope",225,18,2
"G0100755","1970","Alabama","01",,,"Goodwater","0755",,,,,,,,,,,"Goodwater",494,68,42
"G0100760","1970","Alabama","01",,,"Gordo","0760",,,,,,,,,,,"Gordo",542,56,27
"G0100765","1970","Alabama","01",,,"Gordon","0765",,,,,,,,,,,"Gordon",60,13,9
"G0100770","1970","Alabama","01",,,"Goshen","0770",,,,,,,,,,,"Goshen",89,0,2
"G0100775","1970","Alabama","01",,,"Grant","0775",,,,,,,,,,,"Grant",114,7,0
"G0100780","1970","Alabama","01",,,"Graysville","0780",,,,,,,,,,,"Graysville",788,93,38
"G0100785","1970","Alabama","01",,,"Greensboro","0785",,,,,,,,,,,"Greensboro",771,81,108
"G0100790","1970","Alabama","01",,,"Greenville","0790",,,,,,,,,,,"Greenville",2199,181,142
"G0100797","1970","Alabama","01",,,"Grimes","0797",,,,,,,,,,,"Grimes",59,3,3
"G0100800","1970","Alabama","01",,,"Grove Hill","0800",,,,,,,,,,,"Grove Hill",540,41,19
"G0100805","1970","Alabama","01",,,"Guin","0805",,,,,,,,,,,"Guin",684,37,12
"G0100810","1970","Alabama","01",,,"Gulf Shores","0810",,,,,,,,,,,"Gulf Shores",309,28,7
"G0100815","1970","Alabama","01",,,"Guntersville","0815",,,,,,,,,,,"Guntersville",1912,138,70
"G0100817","1970","Alabama","01",,,"Gurley","0817",,,,,,,,,,,"Gurley",193,14,6
"G0100820","1970","Alabama","01",,,"Gu-Win","0820",,,,,,,,,,,"Gu-Win",57,7,1
"G0100825","1970","Alabama","01",,,"Hackleburg","0825",,,,,,,,,,,"Hackleburg",237,14,2
"G0100828","1970","Alabama","01",,,"Haleburg","0828",,,,,,,,,,,"Haleburg",34,3,0
"G0100830","1970","Alabama","01",,,"Haleyville","0830",,,,,,,,,,,"Haleyville",1314,82,19
"G0100835","1970","Alabama","01",,,"Hamilton","0835",,,,,,,,,,,"Hamilton",1014,30,6
"G0100840","1970","Alabama","01",,,"Hammondville","0840",,,,,,,,,,,"Hammondville",70,4,1
"G0100845","1970","Alabama","01",,,"Hanceville","0845",,,,,,,,,,,"Hanceville",574,42,7
"G0100850","1970","Alabama","01",,,"Harpersville","0850",,,,,,,,,,,"Harpersville",158,22,9
"G0100855","1970","Alabama","01",,,"Hartford","0855",,,,,,,,,,,"Hartford",820,40,21
"G0100860","1970","Alabama","01",,,"Hartselle","0860",,,,,,,,,,,"Hartselle",2123,110,25
"G0100865","1970","Alabama","01",,,"Hayden","0865",,,,,,,,,,,"Hayden",59,6,1
"G0100867","1970","Alabama","01",,,"Hayneville","0867",,,,,,,,,,,"Hayneville",122,11,9
"G0100870","1970","Alabama","01",,,"Headland","0870",,,,,,,,,,,"Headland",688,59,52
"G0100875","1970","Alabama","01",,,"Heath","0875",,,,,,,,,,,"Heath",78,4,3
"G0100880","1970","Alabama","01",,,"Heflin","0880",,,,,,,,,,,"Heflin",796,65,24
"G0100885","1970","Alabama","01",,,"Helena","0885",,,,,,,,,,,"Helena",300,35,10
"G0100886","1970","Alabama","01",,,"Henagar","0886",,,,,,,,,,,"Henagar",251,12,3
"G0100887","1970","Alabama","01",,,"Highland Lake","0887",,,,,,,,,,,"Highland Lake",39,2,1
"G0100890","1970","Alabama","01",,,"Hillsboro","0890",,,,,,,,,,,"Hillsboro",68,8,2
"G0100895","1970","Alabama","01",,,"Hobson City","0895",,,,,,,,,,,"Hobson City",207,45,28
"G0100900","1970","Alabama","01",,,"Hodges","0900",,,,,,,,,,,"Hodges",75,3,4
"G0100905","1970","Alabama","01",,,"Hokes Bluff","0905",,,,,,,,,,,"Hokes Bluff",634,29,3
"G0100910","1970","Alabama","01",,,"Holly Pond","0910",,,,,,,,,,,"Holly Pond",105,6,0
"G0100915","1970","Alabama","01",,,"Hollywood","0915",,,,,,,,,,,"Hollywood",89,8,4
"G0100925","1970","Alabama","01",,,"Homewood","0925",,,,,,,,,,,"Homewood",7199,137,57
"G0100927","1970","Alabama","01",,,"Hoover","0927",,,,,,,,,,,"Hoover",401,3,0
"G0100930","1970","Alabama","01",,,"Hueytown","0930",,,,,,,,,,,"Hueytown",2134,80,11
"G0100935","1970","Alabama","01",,,"Huntsville","0935",,,,,,,,,,,"Huntsville",38490,1742,515
"G0100940","1970","Alabama","01",,,"Hurtsboro","0940",,,,,,,,,,,"Hurtsboro",238,28,28
"G0100945","1970","Alabama","01",,,"Irondale","0945",,,,,,,,,,,"Irondale",969,60,20
"G0100950","1970","Alabama","01",,,"Jackson","0950",,,,,,,,,,,"Jackson",1532,133,83
"G0100955","1970","Alabama","01",,,"Jacksonville","0955",,,,,,,,,,,"Jacksonville",1991,108,39
"G0100960","1970","Alabama","01",,,"Jasper","0960",,,,,,,,,,,"Jasper",3349,170,77
"G0100965","1970","Alabama","01",,,"Jemison","0965",,,,,,,,,,,"Jemison",394,25,13
"G0100970","1970","Alabama","01",,,"Kansas","0970",,,,,,,,,,,"Kansas",81,5,0
"G0100972","1970","Alabama","01",,,"Kelly","0972",,,,,,,,,,,"Kelly",105,7,1
"G0100975","1970","Alabama","01",,,"Kennedy","0975",,,,,,,,,,,"Kennedy",115,9,8
"G0100980","1970","Alabama","01",,,"Killen","0980",,,,,,,,,,,"Killen",207,12,2
"G0100985","1970","Alabama","01",,,"Kimberly","0985",,,,,,,,,,,"Kimberly",227,27,10
"G0100990","1970","Alabama","01",,,"Kinsey","0990",,,,,,,,,,,"Kinsey",67,2,2
"G0100995","1970","Alabama","01",,,"Kinston","0995",,,,,,,,,,,"Kinston",185,12,0
"G0101000","1970","Alabama","01",,,"Lafayette","1000",,,,,,,,,,,"Lafayette",916,87,81
"G0101002","1970","Alabama","01",,,"Lakeview","1002",,,,,,,,,,,"Lakeview",20,3,0
"G0101005","1970","Alabama","01",,,"Lanett","1005",,,,,,,,,,,"Lanett",2132,136,68
"G0101010","1970","Alabama","01",,,"Langdale (U)","1010",,,,,,,,,,,"Langdale (U)",762,33,10
"G0101015","1970","Alabama","01",,,"Leeds","1015",,,,,,,,,,,"Leeds",1932,146,62
"G0101017","1970","Alabama","01",,,"Leesburg","1017",,,,,,,,,,,"Leesburg",37,1,0
"G0101020","1970","Alabama","01",,,"Leighton","1020",,,,,,,,,,,"Leighton",323,27,20
"G0101023","1970","Alabama","01",,,"Lester","1023",,,,,,,,,,,"Lester",20,1,0
"G0101024","1970","Alabama","01",,,"Level Plains","1024",,,,,,,,,,,"Level Plains",41,2,2
"G0101025","1970","Alabama","01",,,"Lexington","1025",,,,,,,,,,,"Lexington",93,3,2
"G0101027","1970","Alabama","01",,,"Libertyville","1027",,,,,,,,,,,"Libertyville",53,0,0
"G0101030","1970","Alabama","01",,,"Lincoln","1030",,,,,,,,,,,"Lincoln",298,25,17
"G0101035","1970","Alabama","01",,,"Linden","1035",,,,,,,,,,,"Linden",676,57,45
"G0101040","1970","Alabama","01",,,"Lineville","1040",,,,,,,,,,,"Lineville",555,47,25
"G0101045","1970","Alabama","01",,,"Lipscomb","1045",,,,,,,,,,,"Lipscomb",895,80,24
"G0101050","1970","Alabama","01",,,"Lisman","1050",,,,,,,,,,,"Lisman",169,23,11
"G0101052","1970","Alabama","01",,,"Little Shawmut (U)","1052",,,,,,,,,,,"Little Shawmut (U)",555,89,79
"G0101055","1970","Alabama","01",,,"Littleville","1055",,,,,,,,,,,"Littleville",218,24,3
"G0101060","1970","Alabama","01",,,"Livingston","1060",,,,,,,,,,,"Livingston",607,35,26
"G0101065","1970","Alabama","01",,,"Lockhart","1065",,,,,,,,,,,"Lockhart",213,16,6
"G0101070","1970","Alabama","01",,,"Louisville","1070",,,,,,,,,,,"Louisville",231,19,15
"G0101072","1970","Alabama","01",,,"Lowndesboro","1072",,,,,,,,,,,"Lowndesboro",68,3,3
"G0101075","1970","Alabama","01",,,"Loxley","1075",,,,,,,,,,,"Loxley",250,21,6
"G0101080","1970","Alabama","01",,,"Luverne","1080",,,,,,,,,,,"Luverne",742,45,29
"G0101085","1970","Alabama","01",,,"Lynn","1085",,,,,,,,,,,"Lynn",102,3,2
"G0101090","1970","Alabama","01",,,"Mc Kenzie","1090",,,,,,,,,,,"Mc Kenzie",145,13,8
"G0101095","1970","Alabama","01",,,"Madison","1095",,,,,,,,,,,"Madison",738,47,29
"G0101100","1970","Alabama","01",,,"Madrid","1100",,,,,,,,,,,"Madrid",52,13,1
"G0101105","1970","Alabama","01",,,"Malvern","1105",,,,,,,,,,,"Malvern",63,8,1
"G0101110","1970","Alabama","01",,,"Maplesville","1110",,,,,,,,,,,"Maplesville",163,16,10
"G0101115","1970","Alabama","01",,,"Margaret","1115",,,,,,,,,,,"Margaret",122,24,21
"G0101120","1970","Alabama","01",,,"Marion","1120",,,,,,,,,,,"Marion",1028,83,58
"G0101125","1970","Alabama","01",,,"Maytown","1125",,,,,,,,,,,"Maytown",206,12,6
"G0101130","1970","Alabama","01",,,"Mentone","1130",,,,,,,,,,,"Mentone",142,10,0
"G0101135","1970","Alabama","01",,,"Midfield","1135",,,,,,,,,,,"Midfield",1944,65,3
"G0101140","1970","Alabama","01",,,"Midland City","1140",,,,,,,,,,,"Midland City",299,33,12
"G0101145","1970","Alabama","01",,,"Midway","1145",,,,,,,,,,,"Midway",130,17,15
"G0101150","1970","Alabama","01",,,"Mignon (U)","1150",,,,,,,,,,,"Mignon (U)",545,53,9
"G0101155","1970","Alabama","01",,,"Millport","1155",,,,,,,,,,,"Millport",334,22,13
"G0101160","1970","Alabama","01",,,"Millry","1160",,,,,,,,,,,"Millry",231,23,17
"G0101165","1970","Alabama","01",,,"Mobile","1165",,,,,,,,,,,"Mobile",50648,4091,2199
"G0101170","1970","Alabama","01",,,"Monroeville","1170",,,,,,,,,,,"Monroeville",1334,80,54
"G0101175","1970","Alabama","01",,,"Montevallo","1175",,,,,,,,,,,"Montevallo",759,48,12
"G0101180","1970","Alabama","01",,,"Montgomery","1180",,,,,,,,,,,"Montgomery",37452,2562,1547
"G0101183","1970","Alabama","01",,,"Moody","1183",,,,,,,,,,,"Moody",128,14,5
"G0101185","1970","Alabama","01",,,"Mooresville","1185",,,,,,,,,,,"Mooresville",27,2,0
"G0101190","1970","Alabama","01",,,"Morris","1190",,,,,,,,,,,"Morris",156,14,2
"G0101195","1970","Alabama","01",,,"Moulton","1195",,,,,,,,,,,"Moulton",753,40,18
"G0101200","1970","Alabama","01",,,"Moundville","1200",,,,,,,,,,,"Moundville",305,20,10
"G0101202","1970","Alabama","01",,,"Mountainboro","1202",,,,,,,,,,,"Mountainboro",92,6,3
"G0101205","1970","Alabama","01",,,"Mountain Brook","1205",,,,,,,,,,,"Mountain Brook",6197,18,11
"G0101215","1970","Alabama","01",,,"Mount Vernon","1215",,,,,,,,,,,"Mount Vernon",272,34,14
"G0101220","1970","Alabama","01",,,"Mulga","1220",,,,,,,,,,,"Mulga",133,22,8
"G0101225","1970","Alabama","01",,,"Muscle Shoals","1225",,,,,,,,,,,"Muscle Shoals",1808,112,24
"G0101230","1970","Alabama","01",,,"Myrtlewood","1230",,,,,,,,,,,"Myrtlewood",82,5,10
"G0101235","1970","Alabama","01",,,"Nauvoo","1235",,,,,,,,,,,"Nauvoo",101,3,1
