GISJOIN,YEAR,STATE,STATEA,COUNTYA,CTY_SUBA,PLACE,PLACEA,TRACTA,ENUMDISTA,SCSAA,SMSAA,URB_AREAA,BLCK_GRPA,BLOCKA,ANXTERRA,URBRURALA,CDA,AREANAME,CCO001,CCO002,CCO003
"G1301360","1970","Georgia","13",,,"Hiawassee","1360",,,,,,,,,,,"Hiawassee",132,5,3
"G1301370","1970","Georgia","13",,,"Higgston","1370",,,,,,,,,,,"Higgston",46,6,4
"G1301375","1970","Georgia","13",,,"Hilltonia","1375",,,,,,,,,,,"Hilltonia",78,6,3
"G1301380","1970","Georgia","13",,,"Hinesville","1380",,,,,,,,,,,"Hinesville",1302,75,33
"G1301385","1970","Georgia","13",,,"Hiram","1385",,,,,,,,,,,"Hiram",127,9,4
"G1301390","1970","Georgia","13",,,"Hoboken","1390",,,,,,,,,,,"Hoboken",106,11,7
"G1301395","1970","Georgia","13",,,"Hogansville","1395",,,,,,,,,,,"Hogansville",893,70,64
"G1301400","1970","Georgia","13",,,"Holly Springs","1400",,,,,,,,,,,"Holly Springs",173,10,5
"G1301405","1970","Georgia","13",,,"Homeland","1405",,,,,,,,,,,"Homeland",139,21,5
"G1301410","1970","Georgia","13",,,"Homer","1410",,,,,,,,,,,"Homer",102,8,6
"G1301415","1970","Georgia","13",,,"Homerville","1415",,,,,,,,,,,"Homerville",694,87,66
"G1301420","1970","Georgia","13",,,"Hoschton","1420",,,,,,,,,,,"Hoschton",130,11,10
"G1301425","1970","Georgia","13",,,"Howell","1425",,,,,,,,,,,"Howell",23,2,2
"G1301430","1970","Georgia","13",,,"Hull","1430",,,,,,,,,,,"Hull",70,4,0
"G1301435","1970","Georgia","13",,,"Ideal","1435",,,,,,,,,,,"Ideal",104,15,13
"G1301440","1970","Georgia","13",,,"Ila","1440",,,,,,,,,,,"Ila",70,2,2
"G1301445","1970","Georgia","13",,,"Iron City","1445",,,,,,,,,,,"Iron City",114,7,4
"G1301450","1970","Georgia","13",,,"Irwinton","1450",,,,,,,,,,,"Irwinton",199,17,16
"G1301460","1970","Georgia","13",,,"Ivey","1460",,,,,,,,,,,"Ivey",69,4,3
"G1301465","1970","Georgia","13",,,"Jackson","1465",,,,,,,,,,,"Jackson",980,86,80
"G1301470","1970","Georgia","13",,,"Jacksonville","1470",,,,,,,,,,,"Jacksonville",59,3,5
"G1301475","1970","Georgia","13",,,"Jakin","1475",,,,,,,,,,,"Jakin",54,5,1
"G1301480","1970","Georgia","13",,,"Jasper","1480",,,,,,,,,,,"Jasper",373,18,7
"G1301485","1970","Georgia","13",,,"Jefferson","1485",,,,,,,,,,,"Jefferson",471,40,30
"G1301490","1970","Georgia","13",,,"Jeffersonville","1490",,,,,,,,,,,"Jeffersonville",310,25,36
"G1301495","1970","Georgia","13",,,"Jenkinsburg","1495",,,,,,,,,,,"Jenkinsburg",66,1,1
