GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,ENUMDISTA,SCSAA,SMSAA,URB_AREAA,BLCK_GRPA,BLOCKA,ANXTERRA,URBRURALA,CDA,AREANAME,CCO001,CCO002,CCO003
"G1701910","1970","Illinois","17","Wayne","191",,,,,,,,,,,,,"Wayne",5696,288,74
"G1701930","1970","Illinois","17","White","193",,,,,,,,,,,,,"White",5861,263,73
"G1701950","1970","Illinois","17","Whiteside","195",,,,,,,,,,,,,"Whiteside",18093,1039,231
"G1701970","1970","Illinois","17","Will","197",,,,,"B","1600",,,,,,,"Will",64195,5301,1192
"G1701990","1970","Illinois","17","Williamson","199",,,,,,,,,,,,,"Williamson",15997,1017,238
"G1702010","1970","Illinois","17","Winnebago","201",,,,,,"6880",,,,,,,"Winnebago",70990,4853,873
"G1702030","1970","Illinois","17","Woodford","203",,,,,,"6120",,,,,,,"Woodford",7794,472,71
"G1800010","1970","Indiana","18","Adams","001",,,,,,,,,,,,,"Adams",7425,416,141
"G1800030","1970","Indiana","18","Allen","003",,,,,,"2760",,,,,,,"Allen",80220,4555,945
"G1800050","1970","Indiana","18","Bartholomew","005",,,,,,,,,,,,,"Bartholomew",15940,1191,283
"G1800070","1970","Indiana","18","Benton","007",,,,,,,,,,,,,"Benton",3268,164,35
"G1800090","1970","Indiana","18","Blackford","009",,,,,,,,,,,,,"Blackford",4832,277,50
"G1800110","1970","Indiana","18","Boone","011",,,,,,"3480",,,,,,,"Boone",9323,463,92
"G1800130","1970","Indiana","18","Brown","013",,,,,,,,,,,,,"Brown",2479,252,96
"G1800150","1970","Indiana","18","Carroll","015",,,,,,,,,,,,,"Carroll",5469,270,54
"G1800170","1970","Indiana","18","Cass","017",,,,,,,,,,,,,"Cass",12415,478,97
"G1800190","1970","Indiana","18","Clark","019",,,,,,"4520",,,,,,,"Clark",20987,1808,454
"G1800210","1970","Indiana","18","Clay","021",,,,,,"8320",,,,,,,"Clay",7710,463,110
"G1800230","1970","Indiana","18","Clinton","023",,,,,,,,,,,,,"Clinton",9629,444,86
"G1800250","1970","Indiana","18","Crawford","025",,,,,,,,,,,,,"Crawford",2388,190,65
"G1800270","1970","Indiana","18","Daviess","027",,,,,,,,,,,,,"Daviess",7756,605,188
"G1800290","1970","Indiana","18","Dearborn","029",,,,,,"1640",,,,,,,"Dearborn",8130,718,177
"G1800310","1970","Indiana","18","Decatur","031",,,,,,,,,,,,,"Decatur",6337,508,169
"G1800330","1970","Indiana","18","DeKalb","033",,,,,,,,,,,,,"De Kalb",8902,489,75
"G1800350","1970","Indiana","18","Delaware","035",,,,,,"5280",,,,,,,"Delaware",36529,2363,538
"G1800370","1970","Indiana","18","Dubois","037",,,,,,,,,,,,,"Dubois",7458,861,273
"G1800390","1970","Indiana","18","Elkhart","039",,,,,,,,,,,,,"Elkhart",36730,2102,487
"G1800410","1970","Indiana","18","Fayette","041",,,,,,,,,,,,,"Fayette",7644,538,126
"G1800430","1970","Indiana","18","Floyd","043",,,,,,"4520",,,,,,,"Floyd",15889,1321,361
"G1800450","1970","Indiana","18","Fountain","045",,,,,,,,,,,,,"Fountain",5635,327,84
"G1800470","1970","Indiana","18","Franklin","047",,,,,,,,,,,,,"Franklin",4313,438,135
"G1800490","1970","Indiana","18","Fulton","049",,,,,,,,,,,,,"Fulton",5463,225,42
"G1800510","1970","Indiana","18","Gibson","051",,,,,,,,,,,,,"Gibson",9333,609,157
"G1800530","1970","Indiana","18","Grant","053",,,,,,,,,,,,,"Grant",23479,1562,376
"G1800550","1970","Indiana","18","Greene","055",,,,,,,,,,,,,"Greene",8847,529,121
"G1800570","1970","Indiana","18","Hamilton","057",,,,,,"3480",,,,,,,"Hamilton",15531,789,133
"G1800590","1970","Indiana","18","Hancock","059",,,,,,"3480",,,,,,,"Hancock",10045,624,123
"G1800610","1970","Indiana","18","Harrison","061",,,,,,,,,,,,,"Harrison",5569,488,151
"G1800630","1970","Indiana","18","Hendricks","063",,,,,,"3480",,,,,,,"Hendricks",15078,862,164
"G1800650","1970","Indiana","18","Henry","065",,,,,,,,,,,,,"Henry",15459,959,194
"G1800670","1970","Indiana","18","Howard","067",,,,,,,,,,,,,"Howard",24397,1484,300
"G1800690","1970","Indiana","18","Huntington","069",,,,,,,,,,,,,"Huntington",10514,477,78
"G1800710","1970","Indiana","18","Jackson","071",,,,,,,,,,,,,"Jackson",9668,734,181
"G1800730","1970","Indiana","18","Jasper","073",,,,,,,,,,,,,"Jasper",5328,399,105
"G1800750","1970","Indiana","18","Jay","075",,,,,,,,,,,,,"Jay",7316,434,82
"G1800770","1970","Indiana","18","Jefferson","077",,,,,,,,,,,,,"Jefferson",7168,545,177
"G1800790","1970","Indiana","18","Jennings","079",,,,,,,,,,,,,"Jennings",4825,450,129
"G1800810","1970","Indiana","18","Johnson","081",,,,,,"3480",,,,,,,"Johnson",15866,1247,260
"G1800830","1970","Indiana","18","Knox","083",,,,,,,,,,,,,"Knox",12638,854,200
"G1800850","1970","Indiana","18","Kosciusko","085",,,,,,,,,,,,,"Kosciusko",14496,727,166
"G1800870","1970","Indiana","18","Lagrange","087",,,,,,,,,,,,,"Lagrange",5286,410,132
"G1800890","1970","Indiana","18","Lake","089",,,,,"B","2960",,,,,,,"Lake",139751,15442,4831
"G1800910","1970","Indiana","18","LaPorte","091",,,,,,,,,,,,,"La Porte",29119,2099,479
"G1800930","1970","Indiana","18","Lawrence","093",,,,,,,,,,,,,"Lawrence",11486,829,261
"G1800950","1970","Indiana","18","Madison","095",,,,,,"0400",,,,,,,"Madison",41227,2425,538
"G1800970","1970","Indiana","18","Marion","097",,,,,,"3480",,,,,,,"Marion",231350,15913,4259
"G1800990","1970","Indiana","18","Marshall","099",,,,,,"7800",,,,,,,"Marshall",10356,541,117
"G1801010","1970","Indiana","18","Martin","101",,,,,,,,,,,,,"Martin",2885,321,88
"G1801030","1970","Indiana","18","Miami","103",,,,,,,,,,,,,"Miami",11078,739,142
"G1801050","1970","Indiana","18","Monroe","105",,,,,,,,,,,,,"Monroe",23162,1390,493
"G1801070","1970","Indiana","18","Montgomery","107",,,,,,,,,,,,,"Montgomery",10479,472,93
"G1801090","1970","Indiana","18","Morgan","109",,,,,,"3480",,,,,,,"Morgan",11456,1143,301
"G1801110","1970","Indiana","18","Newton","111",,,,,,,,,,,,,"Newton",3497,194,54
"G1801130","1970","Indiana","18","Noble","113",,,,,,,,,,,,,"Noble",9036,530,130
"G1801150","1970","Indiana","18","Ohio","115",,,,,,,,,,,,,"Ohio",1276,88,14
"G1801170","1970","Indiana","18","Orange","117",,,,,,,,,,,,,"Orange",5046,354,136
"G1801190","1970","Indiana","18","Owen","119",,,,,,,,,,,,,"Owen",3593,297,95
"G1801210","1970","Indiana","18","Parke","121",,,,,,,,,,,,,"Parke",4572,296,69
"G1801230","1970","Indiana","18","Perry","123",,,,,,,,,,,,,"Perry",5120,467,168
"G1801250","1970","Indiana","18","Pike","125",,,,,,,,,,,,,"Pike",3979,252,67
"G1801270","1970","Indiana","18","Porter","127",,,,,"B","2960",,,,,,,"Porter",22646,1667,312
"G1801290","1970","Indiana","18","Posey","129",,,,,,,,,,,,,"Posey",6085,482,175
"G1801310","1970","Indiana","18","Pulaski","131",,,,,,,,,,,,,"Pulaski",3686,226,68
"G1801330","1970","Indiana","18","Putnam","133",,,,,,,,,,,,,"Putnam",7302,461,96
"G1801350","1970","Indiana","18","Randolph","135",,,,,,,,,,,,,"Randolph",9194,376,75
"G1801370","1970","Indiana","18","Ripley","137",,,,,,,,,,,,,"Ripley",5833,485,136
"G1801390","1970","Indiana","18","Rush","139",,,,,,,,,,,,,"Rush",5775,380,98
"G1801410","1970","Indiana","18","St Joseph","141",,,,,,"7800",,,,,,,"St Joseph",70658,4183,825
"G1801430","1970","Indiana","18","Scott","143",,,,,,,,,,,,,"Scott",4440,508,184
"G1801450","1970","Indiana","18","Shelby","145",,,,,,"3480",,,,,,,"Shelby",10861,806,207
"G1801470","1970","Indiana","18","Spencer","147",,,,,,,,,,,,,"Spencer",4476,437,144
"G1801490","1970","Indiana","18","Starke","149",,,,,,,,,,,,,"Starke",5281,458,151
"G1801510","1970","Indiana","18","Steuben","151",,,,,,,,,,,,,"Steuben",6152,245,58
"G1801530","1970","Indiana","18","Sullivan","153",,,,,,"8320",,,,,,,"Sullivan",6527,368,105
"G1801550","1970","Indiana","18","Switzerland","155",,,,,,,,,,,,,"Switzerland",1977,121,32
"G1801570","1970","Indiana","18","Tippecanoe","157",,,,,,"3920",,,,,,,"Tippecanoe",30244,1629,447
"G1801590","1970","Indiana","18","Tipton","159",,,,,,,,,,,,,"Tipton",5050,246,54
"G1801610","1970","Indiana","18","Union","161",,,,,,,,,,,,,"Union",1958,120,20
"G1801630","1970","Indiana","18","Vanderburgh","163",,,,,,"2440",,,,,,,"Vanderburgh",50159,3645,967
"G1801650","1970","Indiana","18","Vermillion","165",,,,,,"8320",,,,,,,"Vermillion",5594,337,83
"G1801670","1970","Indiana","18","Vigo","167",,,,,,"8320",,,,,,,"Vigo",34010,2040,565
"G1801690","1970","Indiana","18","Wabash","169",,,,,,,,,,,,,"Wabash",10205,543,108
"G1801710","1970","Indiana","18","Warren","171",,,,,,,,,,,,,"Warren",2553,174,35
"G1801730","1970","Indiana","18","Warrick","173",,,,,,"2440",,,,,,,"Warrick",7748,681,155
"G1801750","1970","Indiana","18","Washington","175",,,,,,,,,,,,,"Washington",5464,446,159
"G1801770","1970","Indiana","18","Wayne","177",,,,,,,,,,,,,"Wayne",23614,1344,285
"G1801790","1970","Indiana","18","Wells","179",,,,,,,,,,,,,"Wells",7129,324,76
"G1801810","1970","Indiana","18","White","181",,,,,,,,,,,,,"White",6500,314,58
"G1801830","1970","Indiana","18","Whitley","183",,,,,,,,,,,,,"Whitley",6873,360,66
"G1900010","1970","Iowa","19","Adair","001",,,,,,,,,,,,,"Adair",3185,95,21
"G1900030","1970","Iowa","19","Adams","003",,,,,,,,,,,,,"Adams",2097,71,16
"G1900050","1970","Iowa","19","Allamakee","005",,,,,,,,,,,,,"Allamakee",4223,261,58
"G1900070","1970","Iowa","19","Appanoose","007",,,,,,,,,,,,,"Appanoose",5035,260,60
"G1900090","1970","Iowa","19","Audubon","009",,,,,,,,,,,,,"Audubon",3018,118,11
"G1900110","1970","Iowa","19","Benton","011",,,,,,,,,,,,,"Benton",7014,288,55
"G1900130","1970","Iowa","19","Black Hawk","013",,,,,,"8920",,,,,,,"Black Hawk",36456,2673,509
"G1900150","1970","Iowa","19","Boone","015",,,,,,,,,,,,,"Boone",8343,281,25
"G1900170","1970","Iowa","19","Bremer","017",,,,,,,,,,,,,"Bremer",6594,236,31
"G1900190","1970","Iowa","19","Buchanan","019",,,,,,,,,,,,,"Buchanan",5907,360,88
"G1900210","1970","Iowa","19","Buena Vista","021",,,,,,,,,,,,,"Buena Vista",6536,224,29
"G1900230","1970","Iowa","19","Butler","023",,,,,,,,,,,,,"Butler",5276,204,40
"G1900250","1970","Iowa","19","Calhoun","025",,,,,,,,,,,,,"Calhoun",4661,148,17
"G1900270","1970","Iowa","19","Carroll","027",,,,,,,,,,,,,"Carroll",6228,462,90
"G1900290","1970","Iowa","19","Cass","029",,,,,,,,,,,,,"Cass",5760,152,21
"G1900310","1970","Iowa","19","Cedar","031",,,,,,,,,,,,,"Cedar",5452,171,38
"G1900330","1970","Iowa","19","Cerro Gordo","033",,,,,,,,,,,,,"Cerro Gordo",15437,706,136
"G1900350","1970","Iowa","19","Cherokee","035",,,,,,,,,,,,,"Cherokee",5226,243,28
"G1900370","1970","Iowa","19","Chickasaw","037",,,,,,,,,,,,,"Chickasaw",4153,284,61
"G1900390","1970","Iowa","19","Clarke","039",,,,,,,,,,,,,"Clarke",2603,87,16
"G1900410","1970","Iowa","19","Clay","041",,,,,,,,,,,,,"Clay",5852,213,31
"G1900430","1970","Iowa","19","Clayton","043",,,,,,,,,,,,,"Clayton",6184,285,83
"G1900450","1970","Iowa","19","Clinton","045",,,,,,,,,,,,,"Clinton",16688,832,187
"G1900470","1970","Iowa","19","Crawford","047",,,,,,,,,,,,,"Crawford",5713,264,54
"G1900490","1970","Iowa","19","Dallas","049",,,,,,,,,,,,,"Dallas",8200,361,42
"G1900510","1970","Iowa","19","Davis","051",,,,,,,,,,,,,"Davis",2631,130,30
"G1900530","1970","Iowa","19","Decatur","053",,,,,,,,,,,,,"Decatur",3056,115,27
"G1900550","1970","Iowa","19","Delaware","055",,,,,,,,,,,,,"Delaware",4863,391,73
"G1900570","1970","Iowa","19","Des Moines","057",,,,,,,,,,,,,"Des Moines",14793,766,134
"G1900590","1970","Iowa","19","Dickinson","059",,,,,,,,,,,,,"Dickinson",4143,156,36
"G1900610","1970","Iowa","19","Dubuque","061",,,,,,"2200",,,,,,,"Dubuque",21427,2330,522
"G1900630","1970","Iowa","19","Emmet","063",,,,,,,,,,,,,"Emmet",4050,231,44
"G1900650","1970","Iowa","19","Fayette","065",,,,,,,,,,,,,"Fayette",7910,390,64
"G1900670","1970","Iowa","19","Floyd","067",,,,,,,,,,,,,"Floyd",6089,252,51
"G1900690","1970","Iowa","19","Franklin","069",,,,,,,,,,,,,"Franklin",4454,92,25
"G1900710","1970","Iowa","19","Fremont","071",,,,,,,,,,,,,"Fremont",3075,131,31
"G1900730","1970","Iowa","19","Greene","073",,,,,,,,,,,,,"Greene",4244,140,19
"G1900750","1970","Iowa","19","Grundy","075",,,,,,,,,,,,,"Grundy",4512,121,20
"G1900770","1970","Iowa","19","Guthrie","077",,,,,,,,,,,,,"Guthrie",4043,158,23
"G1900790","1970","Iowa","19","Hamilton","079",,,,,,,,,,,,,"Hamilton",5943,176,40
"G1900810","1970","Iowa","19","Hancock","081",,,,,,,,,,,,,"Hancock",4145,163,31
"G1900830","1970","Iowa","19","Hardin","083",,,,,,,,,,,,,"Hardin",7182,233,43
"G1900850","1970","Iowa","19","Harrison","085",,,,,,,,,,,,,"Harrison",5117,241,57
"G1900870","1970","Iowa","19","Henry","087",,,,,,,,,,,,,"Henry",5703,182,32
"G1900890","1970","Iowa","19","Howard","089",,,,,,,,,,,,,"Howard",3424,172,31
"G1900910","1970","Iowa","19","Humboldt","091",,,,,,,,,,,,,"Humboldt",3821,158,23
"G1900930","1970","Iowa","19","Ida","093",,,,,,,,,,,,,"Ida",2928,87,16
"G1900950","1970","Iowa","19","Iowa","095",,,,,,,,,,,,,"Iowa",4736,195,34
"G1900970","1970","Iowa","19","Jackson","097",,,,,,,,,,,,,"Jackson",5765,407,98
"G1900990","1970","Iowa","19","Jasper","099",,,,,,,,,,,,,"Jasper",11010,506,93
"G1901010","1970","Iowa","19","Jefferson","101",,,,,,,,,,,,,"Jefferson",5048,179,30
"G1901030","1970","Iowa","19","Johnson","103",,,,,,,,,,,,,"Johnson",21177,962,352
"G1901050","1970","Iowa","19","Jones","105",,,,,,,,,,,,,"Jones",5591,293,65
"G1901070","1970","Iowa","19","Keokuk","107",,,,,,,,,,,,,"Keokuk",4493,168,34
"G1901090","1970","Iowa","19","Kossuth","109",,,,,,,,,,,,,"Kossuth",6488,361,77
"G1901110","1970","Iowa","19","Lee","111",,,,,,,,,,,,,"Lee",13034,750,169
"G1901130","1970","Iowa","19","Linn","113",,,,,,"1360",,,,,,,"Linn",47689,2687,479
"G1901150","1970","Iowa","19","Louisa","115",,,,,,,,,,,,,"Louisa",3249,162,45
"G1901170","1970","Iowa","19","Lucas","117",,,,,,,,,,,,,"Lucas",3440,120,22
"G1901190","1970","Iowa","19","Lyon","119",,,,,,,,,,,,,"Lyon",3879,171,40
"G1901210","1970","Iowa","19","Madison","121",,,,,,,,,,,,,"Madison",3780,159,24
"G1901230","1970","Iowa","19","Mahaska","123",,,,,,,,,,,,,"Mahaska",7251,254,38
"G1901250","1970","Iowa","19","Marion","125",,,,,,,,,,,,,"Marion",7718,339,73
"G1901270","1970","Iowa","19","Marshall","127",,,,,,,,,,,,,"Marshall",12645,550,91
"G1901290","1970","Iowa","19","Mills","129",,,,,,,,,,,,,"Mills",3501,125,31
"G1901310","1970","Iowa","19","Mitchell","131",,,,,,,,,,,,,"Mitchell",3801,207,30
"G1901330","1970","Iowa","19","Monona","133",,,,,,,,,,,,,"Monona",3930,166,37
"G1901350","1970","Iowa","19","Monroe","135",,,,,,,,,,,,,"Monroe",2976,168,24
"G1901370","1970","Iowa","19","Montgomery","137",,,,,,,,,,,,,"Montgomery",4514,96,11
"G1901390","1970","Iowa","19","Muscatine","139",,,,,,,,,,,,,"Muscatine",11032,651,157
"G1901410","1970","Iowa","19","O Brien","141",,,,,,,,,,,,,"O>Brien",5459,186,24
"G1901430","1970","Iowa","19","Osceola","143",,,,,,,,,,,,,"Osceola",2604,117,17
"G1901450","1970","Iowa","19","Page","145",,,,,,,,,,,,,"Page",6367,170,34
"G1901470","1970","Iowa","19","Palo Alto","147",,,,,,,,,,,,,"Palo Alto",3844,208,46
"G1901490","1970","Iowa","19","Plymouth","149",,,,,,,,,,,,,"Plymouth",6699,378,90
"G1901510","1970","Iowa","19","Pocahontas","151",,,,,,,,,,,,,"Pocahontas",3875,156,35
"G1901530","1970","Iowa","19","Polk","153",,,,,,"2120",,,,,,,"Polk",87815,4676,924
"G1901550","1970","Iowa","19","Pottawattamie","155",,,,,,"5920",,,,,,,"Pottawattamie",24311,2040,425
"G1901570","1970","Iowa","19","Poweshiek","157",,,,,,,,,,,,,"Poweshiek",5745,187,37
"G1901590","1970","Iowa","19","Ringgold","159",,,,,,,,,,,,,"Ringgold",2225,72,9
"G1901610","1970","Iowa","19","Sac","161",,,,,,,,,,,,,"Sac",4867,182,31
"G1901630","1970","Iowa","19","Scott","163",,,,,,"1960",,,,,,,"Scott",40634,2835,553
"G1901650","1970","Iowa","19","Shelby","165",,,,,,,,,,,,,"Shelby",4323,260,48
"G1901670","1970","Iowa","19","Sioux","167",,,,,,,,,,,,,"Sioux",7567,385,78
"G1901690","1970","Iowa","19","Story","169",,,,,,,,,,,,,"Story",17591,581,124
"G1901710","1970","Iowa","19","Tama","171",,,,,,,,,,,,,"Tama",6209,248,96
"G1901730","1970","Iowa","19","Taylor","173",,,,,,,,,,,,,"Taylor",3124,82,17
"G1901750","1970","Iowa","19","Union","175",,,,,,,,,,,,,"Union",4597,152,25
"G1901770","1970","Iowa","19","Van Buren","177",,,,,,,,,,,,,"Van Buren",2889,109,27
"G1901790","1970","Iowa","19","Wapello","179",,,,,,,,,,,,,"Wapello",13415,783,154
"G1901810","1970","Iowa","19","Warren","181",,,,,,,,,,,,,"Warren",7458,485,69
"G1901830","1970","Iowa","19","Washington","183",,,,,,,,,,,,,"Washington",5858,237,41
"G1901850","1970","Iowa","19","Wayne","185",,,,,,,,,,,,,"Wayne",3013,99,25
"G1901870","1970","Iowa","19","Webster","187",,,,,,,,,,,,,"Webster",14296,837,149
"G1901890","1970","Iowa","19","Winnebago","189",,,,,,,,,,,,,"Winnebago",4081,129,14
"G1901910","1970","Iowa","19","Winneshiek","191",,,,,,,,,,,,,"Winneshiek",5619,360,79
"G1901930","1970","Iowa","19","Woodbury","193",,,,,,"7720",,,,,,,"Woodbury",30628,1869,337
"G1901950","1970","Iowa","19","Worth","195",,,,,,,,,,,,,"Worth",2932,91,16
"G1901970","1970","Iowa","19","Wright","197",,,,,,,,,,,,,"Wright",5543,177,24
"G2000010","1970","Kansas","20","Allen","001",,,,,,,,,,,,,"Allen",5035,232,50
"G2000030","1970","Kansas","20","Anderson","003",,,,,,,,,,,,,"Anderson",2768,137,31
"G2000050","1970","Kansas","20","Atchison","005",,,,,,,,,,,,,"Atchison",5426,321,85
"G2000070","1970","Kansas","20","Barber","007",,,,,,,,,,,,,"Barber",2377,102,15
"G2000090","1970","Kansas","20","Barton","009",,,,,,,,,,,,,"Barton",9109,569,118
"G2000110","1970","Kansas","20","Bourbon","011",,,,,,,,,,,,,"Bourbon",5386,227,52
"G2000130","1970","Kansas","20","Brown","013",,,,,,,,,,,,,"Brown",4046,128,41
"G2000150","1970","Kansas","20","Butler","015",,,,,,"9040",,,,,,,"Butler",11845,654,126
"G2000170","1970","Kansas","20","Chase","017",,,,,,,,,,,,,"Chase",1197,37,16
"G2000190","1970","Kansas","20","Chautauqua","019",,,,,,,,,,,,,"Chautauqua",1794,61,15
"G2000210","1970","Kansas","20","Cherokee","021",,,,,,,,,,,,,"Cherokee",7149,400,128
"G2000230","1970","Kansas","20","Cheyenne","023",,,,,,,,,,,,,"Cheyenne",1409,49,13
"G2000250","1970","Kansas","20","Clark","025",,,,,,,,,,,,,"Clark",1044,32,5
"G2000270","1970","Kansas","20","Clay","027",,,,,,,,,,,,,"Clay",3475,97,17
"G2000290","1970","Kansas","20","Cloud","029",,,,,,,,,,,,,"Cloud",4382,191,40
"G2000310","1970","Kansas","20","Coffey","031",,,,,,,,,,,,,"Coffey",2628,90,26
"G2000330","1970","Kansas","20","Comanche","033",,,,,,,,,,,,,"Comanche",975,31,8
"G2000350","1970","Kansas","20","Cowley","035",,,,,,,,,,,,,"Cowley",11480,439,88
"G2000370","1970","Kansas","20","Crawford","037",,,,,,,,,,,,,"Crawford",13011,510,161
"G2000390","1970","Kansas","20","Decatur","039",,,,,,,,,,,,,"Decatur",1680,63,17
"G2000410","1970","Kansas","20","Dickinson","041",,,,,,,,,,,,,"Dickinson",6809,221,51
"G2000430","1970","Kansas","20","Doniphan","043",,,,,,,,,,,,,"Doniphan",2742,173,57
"G2000450","1970","Kansas","20","Douglas","045",,,,,,,,,,,,,"Douglas",16535,684,179
"G2000470","1970","Kansas","20","Edwards","047",,,,,,,,,,,,,"Edwards",1534,69,14
"G2000490","1970","Kansas","20","Elk","049",,,,,,,,,,,,,"Elk",1437,51,8
"G2000510","1970","Kansas","20","Ellis","051",,,,,,,,,,,,,"Ellis",6679,462,106
"G2000530","1970","Kansas","20","Ellsworth","053",,,,,,,,,,,,,"Ellsworth",2129,75,21
"G2000550","1970","Kansas","20","Finney","055",,,,,,,,,,,,,"Finney",4984,413,155
"G2000570","1970","Kansas","20","Ford","057",,,,,,,,,,,,,"Ford",6559,442,97
"G2000590","1970","Kansas","20","Franklin","059",,,,,,,,,,,,,"Franklin",6425,271,46
"G2000610","1970","Kansas","20","Geary","061",,,,,,,,,,,,,"Geary",7717,484,145
"G2000630","1970","Kansas","20","Gove","063",,,,,,,,,,,,,"Gove",1102,85,20
"G2000650","1970","Kansas","20","Graham","065",,,,,,,,,,,,,"Graham",1374,92,14
"G2000670","1970","Kansas","20","Grant","067",,,,,,,,,,,,,"Grant",1561,120,70
"G2000690","1970","Kansas","20","Gray","069",,,,,,,,,,,,,"Gray",1364,84,14
"G2000710","1970","Kansas","20","Greeley","071",,,,,,,,,,,,,"Greeley",545,28,10
"G2000730","1970","Kansas","20","Greenwood","073",,,,,,,,,,,,,"Greenwood",3318,119,25
"G2000750","1970","Kansas","20","Hamilton","075",,,,,,,,,,,,,"Hamilton",868,46,10
"G2000770","1970","Kansas","20","Harper","077",,,,,,,,,,,,,"Harper",2930,79,15
"G2000790","1970","Kansas","20","Harvey","079",,,,,,,,,,,,,"Harvey",8335,373,48
"G2000810","1970","Kansas","20","Haskell","081",,,,,,,,,,,,,"Haskell",1011,85,17
"G2000830","1970","Kansas","20","Hodgeman","083",,,,,,,,,,,,,"Hodgeman",803,50,11
"G2000850","1970","Kansas","20","Jackson","085",,,,,,,,,,,,,"Jackson",3292,161,51
"G2000870","1970","Kansas","20","Jefferson","087",,,,,,,,,,,,,"Jefferson",3497,225,49
"G2000890","1970","Kansas","20","Jewell","089",,,,,,,,,,,,,"Jewell",2154,54,16
"G2000910","1970","Kansas","20","Johnson","091",,,,,,"3760",,,,,,,"Johnson",62437,2148,349
"G2000930","1970","Kansas","20","Kearny","093",,,,,,,,,,,,,"Kearny",843,66,20
"G2000950","1970","Kansas","20","Kingman","095",,,,,,,,,,,,,"Kingman",2795,143,30
"G2000970","1970","Kansas","20","Kiowa","097",,,,,,,,,,,,,"Kiowa",1380,43,3
"G2000990","1970","Kansas","20","Labette","099",,,,,,,,,,,,,"Labette",8440,401,101
"G2001010","1970","Kansas","20","Lane","101",,,,,,,,,,,,,"Lane",875,37,8
"G2001030","1970","Kansas","20","Leavenworth","103",,,,,,,,,,,,,"Leavenworth",12965,946,217
"G2001050","1970","Kansas","20","Lincoln","105",,,,,,,,,,,,,"Lincoln",1689,40,3
"G2001070","1970","Kansas","20","Linn","107",,,,,,,,,,,,,"Linn",2707,113,28
"G2001090","1970","Kansas","20","Logan","109",,,,,,,,,,,,,"Logan",1162,63,10
"G2001110","1970","Kansas","20","Lyon","111",,,,,,,,,,,,,"Lyon",9866,452,109
"G2001130","1970","Kansas","20","McPherson","113",,,,,,,,,,,,,"Mc Pherson",7767,236,33
"G2001150","1970","Kansas","20","Marion","115",,,,,,,,,,,,,"Marion",4519,136,22
"G2001170","1970","Kansas","20","Marshall","117",,,,,,,,,,,,,"Marshall",4524,159,29
"G2001190","1970","Kansas","20","Meade","119",,,,,,,,,,,,,"Meade",1542,85,16
"G2001210","1970","Kansas","20","Miami","121",,,,,,,,,,,,,"Miami",5715,330,83
"G2001230","1970","Kansas","20","Mitchell","123",,,,,,,,,,,,,"Mitchell",2646,99,27
"G2001250","1970","Kansas","20","Montgomery","125",,,,,,,,,,,,,"Montgomery",13932,531,110
"G2001270","1970","Kansas","20","Morris","127",,,,,,,,,,,,,"Morris",2239,59,17
"G2001290","1970","Kansas","20","Morton","129",,,,,,,,,,,,,"Morton",1059,73,18
"G2001310","1970","Kansas","20","Nemaha","131",,,,,,,,,,,,,"Nemaha",3492,187,60
"G2001330","1970","Kansas","20","Neosho","133",,,,,,,,,,,,,"Neosho",6237,273,56
"G2001350","1970","Kansas","20","Ness","135",,,,,,,,,,,,,"Ness",1583,68,17
"G2001370","1970","Kansas","20","Norton","137",,,,,,,,,,,,,"Norton",2404,92,17
"G2001390","1970","Kansas","20","Osage","139",,,,,,,,,,,,,"Osage",4214,224,37
"G2001410","1970","Kansas","20","Osborne","141",,,,,,,,,,,,,"Osborne",2256,65,11
"G2001430","1970","Kansas","20","Ottawa","143",,,,,,,,,,,,,"Ottawa",2095,72,9
"G2001450","1970","Kansas","20","Pawnee","145",,,,,,,,,,,,,"Pawnee",2734,78,21
"G2001470","1970","Kansas","20","Phillips","147",,,,,,,,,,,,,"Phillips",2655,92,21
"G2001490","1970","Kansas","20","Pottawatomie","149",,,,,,,,,,,,,"Pottawatomie",3703,190,48
"G2001510","1970","Kansas","20","Pratt","151",,,,,,,,,,,,,"Pratt",3477,120,31
"G2001530","1970","Kansas","20","Rawlins","153",,,,,,,,,,,,,"Rawlins",1339,80,14
"G2001550","1970","Kansas","20","Reno","155",,,,,,,,,,,,,"Reno",19041,945,164
"G2001570","1970","Kansas","20","Republic","157",,,,,,,,,,,,,"Republic",3035,72,26
"G2001590","1970","Kansas","20","Rice","159",,,,,,,,,,,,,"Rice",4050,138,25
"G2001610","1970","Kansas","20","Riley","161",,,,,,,,,,,,,"Riley",13243,688,191
"G2001630","1970","Kansas","20","Rooks","163",,,,,,,,,,,,,"Rooks",2422,127,21
"G2001650","1970","Kansas","20","Rush","165",,,,,,,,,,,,,"Rush",1758,71,17
"G2001670","1970","Kansas","20","Russell","167",,,,,,,,,,,,,"Russell",3204,128,17
"G2001690","1970","Kansas","20","Saline","169",,,,,,,,,,,,,"Saline",14117,724,132
"G2001710","1970","Kansas","20","Scott","171",,,,,,,,,,,,,"Scott",1638,114,20
"G2001730","1970","Kansas","20","Sedgwick","173",,,,,,"9040",,,,,,,"Sedgwick",104548,6314,1564
"G2001750","1970","Kansas","20","Seward","175",,,,,,,,,,,,,"Seward",4486,356,104
