year,GISJOIN,state,county,total,occupied,vacant,pct.vacant,crowded,pct.crowded,usa.crowded,z.crowded
1980,G1801550,IN,SWITZERLAND COUNTY,3203,2547,656,0.20480799250702467,NA,NA,NA,NA
1980,G1801570,IN,TIPPECANOE COUNTY,43130,40681,2449,0.056781822397403196,999,0.0273316735520232,NA,NA
1980,G1801590,IN,TIPTON COUNTY,6443,5993,450,0.0698432407263697,91,0.015184381778741865,NA,NA
1980,G1801610,IN,UNION COUNTY,2627,2410,217,0.08260373049105443,NA,NA,NA,NA
1980,G1801630,IN,VANDERBURGH COUNTY,67502,64030,3472,0.05143551302183639,1857,0.0311891165602956,NA,NA
1980,G1801650,IN,VERMILLION COUNTY,7464,6924,540,0.07234726688102894,118,0.034777483053345125,NA,NA
1980,G1801670,IN,VIGO COUNTY,43075,40278,2797,0.0649332559489263,1166,0.03321085761485659,NA,NA
1980,G1801690,IN,WABASH COUNTY,13465,12586,879,0.06528035647976235,119,0.02479683267347364,NA,NA
1980,G1801710,IN,WARREN COUNTY,3402,3091,311,0.09141681363903587,NA,NA,NA,NA
1980,G1801730,IN,WARRICK COUNTY,14753,13735,1018,0.06900291466142479,412,0.02999635966508919,NA,NA
1980,G1801750,IN,WASHINGTON COUNTY,8512,7556,956,0.11231203007518797,NA,NA,NA,NA
1980,G1801770,IN,WAYNE COUNTY,29298,27430,1868,0.06375861833572258,558,0.025755827371336255,NA,NA
1980,G1801790,IN,WELLS COUNTY,9502,8848,654,0.06882761523889708,174,0.019665461121157322,NA,NA
1980,G1801810,IN,WHITE COUNTY,11159,8798,2361,0.2115780983959136,NA,NA,NA,NA
1980,G1801830,IN,WHITLEY COUNTY,10219,9065,1154,0.1129269008709267,NA,NA,NA,NA
1980,G1900010,IA,ADAIR COUNTY,3963,3615,348,0.08781226343679031,NA,NA,NA,NA
1980,G1900030,IA,ADAMS COUNTY,2478,2216,262,0.10573042776432606,NA,NA,NA,NA
1980,G1900050,IA,ALLAMAKEE COUNTY,6578,5215,1363,0.20720583764062026,NA,NA,NA,NA
1980,G1900070,IA,APPANOOSE COUNTY,6706,6011,695,0.1036385326573218,54,0.019940915805022157,NA,NA
1980,G1900090,IA,AUDUBON COUNTY,3524,3192,332,0.094211123723042,NA,NA,NA,NA
1980,G1900110,IA,BENTON COUNTY,9090,8561,529,0.05819581958195819,NA,NA,NA,NA
1980,G1900130,IA,BLACK HAWK COUNTY,50290,48205,2085,0.04145953469874727,1175,0.026741619062791596,NA,NA
1980,G1900150,IA,BOONE COUNTY,10427,9731,696,0.06674978421405965,53,0.012271359110905301,NA,NA
1980,G1900170,IA,BREMER COUNTY,8811,8454,357,0.040517534899557374,21,0.007253886010362694,NA,NA
1980,G1900190,IA,BUCHANAN COUNTY,8222,7672,550,0.06689369982972512,0,NaN,NA,NaN
1980,G1900210,IA,BUENA VISTA COUNTY,8198,7673,525,0.06404000975847768,NA,NA,NA,NA
1980,G1900230,IA,BUTLER COUNTY,6779,6356,423,0.06239858386192654,NA,NA,NA,NA
1980,G1900250,IA,CALHOUN COUNTY,5782,5113,669,0.11570390868211691,NA,NA,NA,NA
1980,G1900270,IA,CARROLL COUNTY,8379,7869,510,0.060866451843895455,NA,NA,NA,NA
1980,G1900290,IA,CASS COUNTY,7025,6524,501,0.07131672597864769,NA,NA,NA,NA
1980,G1900310,IA,CEDAR COUNTY,7312,6771,541,0.07398796498905907,32,0.014519056261343012,NA,NA
1980,G1900330,IA,CERRO GORDO COUNTY,20931,18694,2237,0.10687497013998376,140,0.011780545270952542,NA,NA
1980,G1900350,IA,CHEROKEE COUNTY,6475,5999,476,0.07351351351351351,NA,NA,NA,NA
1980,G1900370,IA,CHICKASAW COUNTY,5701,5359,342,0.05998947553060867,NA,NA,NA,NA
1980,G1900390,IA,CLARKE COUNTY,3715,3356,359,0.09663526244952894,NA,NA,NA,NA
1980,G1900410,IA,CLAY COUNTY,8043,7377,666,0.08280492353599403,63,0.013846153846153847,NA,NA
1980,G1900430,IA,CLAYTON COUNTY,8557,7487,1070,0.12504382377001286,NA,NA,NA,NA
1980,G1900450,IA,CLINTON COUNTY,21370,20345,1025,0.04796443612540945,219,0.01786151211157328,NA,NA
1980,G1900470,IA,CRAWFORD COUNTY,7094,6661,433,0.061037496475895126,NA,NA,NA,NA
1980,G1900490,IA,DALLAS COUNTY,11555,10688,867,0.07503245348334055,154,0.01440868263473054,NA,NA
1980,G1900510,IA,DAVIS COUNTY,3579,3278,301,0.0841017043867002,NA,NA,NA,NA
1980,G1900530,IA,DECATUR COUNTY,3974,3458,516,0.12984398590840462,NA,NA,NA,NA
1980,G1900550,IA,DELAWARE COUNTY,6542,6219,323,0.04937328034240294,15,0.042735042735042736,NA,NA
1980,G1900570,IA,DES MOINES COUNTY,18567,17350,1217,0.06554639952604083,243,0.021456953642384105,NA,NA
1980,G1900590,IA,DICKINSON COUNTY,10187,6033,4154,0.4077746147050162,NA,NA,NA,NA
1980,G1900610,IA,DUBUQUE COUNTY,31506,30021,1485,0.04713387926109312,823,0.03275882657325956,NA,NA
1980,G1900630,IA,EMMET COUNTY,5268,4844,424,0.08048595292331055,NA,NA,NA,NA
1980,G1900650,IA,FAYETTE COUNTY,9721,9093,628,0.06460240715975722,NA,NA,NA,NA
1980,G1900670,IA,FLOYD COUNTY,7587,7084,503,0.06629761434031897,53,0.015583651867097913,NA,NA
1980,G1900690,IA,FRANKLIN COUNTY,5421,5010,411,0.07581627006087438,NA,NA,NA,NA
1980,G1900710,IA,FREMONT COUNTY,4016,3588,428,0.10657370517928287,NA,NA,NA,NA
1980,G1900730,IA,GREENE COUNTY,5020,4682,338,0.06733067729083665,NA,NA,NA,NA
1980,G1900750,IA,GRUNDY COUNTY,5480,5228,252,0.04598540145985401,NA,NA,NA,NA
