year,hood.name,county,region,total,crowded,pct.crowded
1960,Acton,los-angeles,antelope-valley,654.1487365825498,103.73365988075828,0.15857809406266077
1960,Adams-Normandie,los-angeles,south-la,1292.3785785229845,149.97708367556993,0.11604733022345018
1960,Agoura Hills,los-angeles,santa-monica-mountains,386.9998855571245,30.99999083274124,0.08010335917312661
1960,Agua Dulce,los-angeles,northwest-county,643.235053824982,104.02383249517703,0.16171978171370138
1960,Alhambra,los-angeles,san-gabriel-valley,2576.472769923373,82.53684752655052,0.03203482237035451
1960,Aliso and Wood Regional Park,orange,beach-cities,4390.337236887562,140.44053040476248,0.031988551864486126
1960,Aliso Viejo,orange,south-county,4995.2349049718005,155.69949972711657,0.031169605171550093
1960,Alondra Park,los-angeles,south-bay,2987.0636336422035,388.8114670864678,0.13016511021306232
1960,Altadena,los-angeles,verdugos,2010.415761740769,66.79685307505805,0.03322539265073226
1960,Anaheim,orange,north-county,1713.6459757582763,206.513216008253,0.12051101506941791
1960,Angeles Crest,los-angeles,angeles-forest,172.77130166237077,23.426186681446623,0.13559072864558266
1960,Arcadia,los-angeles,san-gabriel-valley,2594.1797225909777,69.66592325834094,0.02685470195132086
1960,Arleta,los-angeles,san-fernando-valley,940.2425194049115,105.51619266366042,0.11222231550477278
1960,Arlington Heights,los-angeles,central-la,1628.7460705755557,79.3849108571213,0.0487398940149515
1960,Artesia,los-angeles,southeast,1326.3252440732479,297.0379734399312,0.2239556057364214
1960,Athens,los-angeles,south-la,1668.3313862296152,127.50298176746809,0.07642545289255838
1960,Atwater Village,los-angeles,northeast-la,1445.6108561744438,100.64299884695477,0.0696197032673709
1960,Avocado Heights,los-angeles,san-gabriel-valley,1233.3043899282382,239.06134818218814,0.1938380744725139
1960,Azusa,los-angeles,san-gabriel-valley,1137.8150661969173,176.76214120272147,0.15535225930303329
1960,Baldwin Hills/Crenshaw,los-angeles,south-la,1706.2662283324553,58.158128298202946,0.03408502573191128
1960,Baldwin Park,los-angeles,san-gabriel-valley,1671.0472777696662,275.8007483676638,0.1650466459188234
1960,Bel-Air,los-angeles,westside,1081.231833651293,6.566631337448946,0.006073287090774598
1960,Bell,los-angeles,southeast,3125.1805513248623,360.74241387443834,0.11543090325501619
